2026-05-25T20:34:18 | app | INFO | {"timestamp": "2026-05-25T15:04:18.985481", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:18 | app | INFO | {"timestamp": "2026-05-25T15:04:18.986289", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 3.63}
2026-05-25T20:34:18 | app | INFO | {"timestamp": "2026-05-25T15:04:18.994459", "event": "http_request", "method": "GET", "path": "/incidents/", "status_code": 200, "duration_ms": 1.93}
2026-05-25T20:34:20 | app | INFO | {"timestamp": "2026-05-25T15:04:20.682130", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:20 | app | INFO | {"timestamp": "2026-05-25T15:04:20.686571", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 13.62}
2026-05-25T20:34:20 | app | INFO | {"timestamp": "2026-05-25T15:04:20.698842", "event": "http_request", "method": "GET", "path": "/deployments/", "status_code": 200, "duration_ms": 2.4}
2026-05-25T20:34:23 | app | INFO | {"timestamp": "2026-05-25T15:04:23.359461", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:23 | app | INFO | {"timestamp": "2026-05-25T15:04:23.360223", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 2.23}
2026-05-25T20:34:23 | app | INFO | {"timestamp": "2026-05-25T15:04:23.368476", "event": "http_request", "method": "GET", "path": "/metrics/", "status_code": 200, "duration_ms": 3.47}
2026-05-25T20:34:23 | app | INFO | {"timestamp": "2026-05-25T15:04:23.384941", "event": "http_request", "method": "GET", "path": "/metrics/history", "status_code": 200, "duration_ms": 10.15}
2026-05-25T20:34:37 | app | INFO | {"timestamp": "2026-05-25T15:04:37.520414", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:37 | app | INFO | {"timestamp": "2026-05-25T15:04:37.523217", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 9.55}
2026-05-25T20:34:37 | app | INFO | {"timestamp": "2026-05-25T15:04:37.544502", "event": "http_request", "method": "GET", "path": "/logs/", "status_code": 200, "duration_ms": 5.35}
2026-05-25T20:34:41 | app | INFO | {"timestamp": "2026-05-25T15:04:41.303260", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:41 | app | INFO | {"timestamp": "2026-05-25T15:04:41.304263", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 3.39}
2026-05-25T20:34:41 | app | INFO | {"timestamp": "2026-05-25T15:04:41.311612", "event": "http_request", "method": "GET", "path": "/logs/", "status_code": 200, "duration_ms": 0.7}
2026-05-25T20:34:42 | app | INFO | {"timestamp": "2026-05-25T15:04:42.962945", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:42 | app | INFO | {"timestamp": "2026-05-25T15:04:42.964283", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 4.12}
2026-05-25T20:34:42 | app | INFO | {"timestamp": "2026-05-25T15:04:42.972833", "event": "http_request", "method": "GET", "path": "/logs/", "status_code": 200, "duration_ms": 0.87}
2026-05-25T20:34:44 | app | INFO | {"timestamp": "2026-05-25T15:04:44.438464", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:44 | app | INFO | {"timestamp": "2026-05-25T15:04:44.439448", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 14.46}
2026-05-25T20:34:44 | app | INFO | {"timestamp": "2026-05-25T15:04:44.457434", "event": "http_request", "method": "GET", "path": "/logs/", "status_code": 200, "duration_ms": 1.35}
2026-05-25T20:34:55 | app | INFO | {"timestamp": "2026-05-25T15:04:55.449513", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:55 | app | INFO | {"timestamp": "2026-05-25T15:04:55.454740", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 15.13}
2026-05-25T20:34:55 | app | INFO | {"timestamp": "2026-05-25T15:04:55.469311", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:34:55 | app | INFO | {"timestamp": "2026-05-25T15:04:55.469847", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 1.61}
2026-05-25T20:34:55 | app | INFO | {"timestamp": "2026-05-25T15:04:55.474791", "event": "http_request", "method": "GET", "path": "/health/services", "status_code": 200, "duration_ms": 2.15}
2026-05-25T20:34:55 | app | INFO | {"timestamp": "2026-05-25T15:04:55.484013", "event": "http_request", "method": "GET", "path": "/incidents/", "status_code": 200, "duration_ms": 4.0}
2026-05-25T20:34:55 | app | INFO | {"timestamp": "2026-05-25T15:04:55.489437", "event": "http_request", "method": "GET", "path": "/metrics/", "status_code": 200, "duration_ms": 2.5}
2026-05-25T20:34:55 | app | INFO | {"timestamp": "2026-05-25T15:04:55.494817", "event": "http_request", "method": "GET", "path": "/deployments/latest", "status_code": 200, "duration_ms": 2.32}
